Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Change
2022-02-03,1643846400000,BTCUSDT,36896.37,37387.0,36250.0,37311.61,32081.10999,1179502838.6566265,848961,0.0782097462371929
2022-02-04,1643932800000,BTCUSDT,37311.98,41772.33,37026.73,41574.25,64703.95874,2526572562.0582848,1380724,0.16646376518008488
2022-02-05,1644019200000,BTCUSDT,41571.7,41913.69,40843.01,41382.59,32532.34372,1349805515.9300363,1006352,0.11082839580703285
2022-02-06,1644105600000,BTCUSDT,41382.6,42656.0,41116.56,42380.87,22405.16704,934168802.8801152,788291,0.15500956719643955
2022-02-07,1644192000000,BTCUSDT,42380.87,44500.5,41645.85,43839.99,51060.62006,2204523609.903396,1473274,0.16692920805309086
2022-02-08,1644278400000,BTCUSDT,43839.99,45492.0,42666.0,44042.99,64880.29387,2847485971.4977336,1653350,0.12220617278508628
2022-02-09,1644364800000,BTCUSDT,44043.0,44799.0,43117.92,44372.72,34428.16729,1512500139.1430995,1066395,0.2048309755898885
2022-02-10,1644451200000,BTCUSDT,44372.71,45821.0,43174.01,43495.44,62357.29091,2772188373.222784,1541483,0.22476825518398802
2022-02-11,1644537600000,BTCUSDT,43495.44,43920.0,41938.51,42373.73,44975.1687,1937866768.5059533,1169354,0.18374575479986643
2022-02-12,1644624000000,BTCUSDT,42373.73,43079.49,41688.88,42217.87,26556.85681,1123136004.7237244,830322,0.258252145350655
2022-02-13,1644710400000,BTCUSDT,42217.87,42760.0,41870.0,42053.66,17732.08113,750533311.6529565,624898,0.25981544486188346
2022-02-14,1644796800000,BTCUSDT,42053.65,42842.4,41550.56,42535.94,34010.1306,1436927831.4445865,867622,0.13768811157575755
2022-02-15,1644883200000,BTCUSDT,42535.94,44751.4,42427.03,44544.86,38095.19576,1672855933.625659,990694,0.21455993229308112
2022-02-16,1644969600000,BTCUSDT,44544.85,44549.97,43307.0,43873.56,28471.8727,1250973502.301845,823745,0.17522724484476826
2022-02-17,1645056000000,BTCUSDT,43873.56,44164.71,40073.21,40515.7,47245.99494,1993400162.948067,1067658,0.13980685931597003
2022-02-18,1645142400000,BTCUSDT,40515.71,40959.88,39450.0,39974.44,43845.92241,1765622365.952756,1025882,0.024445311793241498
2022-02-19,1645228800000,BTCUSDT,39974.45,40444.32,39639.03,40079.17,18042.0551,721960636.0646691,586653,-0.010788746945981531
2022-02-20,1645315200000,BTCUSDT,40079.17,40125.44,38000.0,38386.89,33439.29011,1293216601.4518795,811235,-0.04377113016029277
2022-02-21,1645401600000,BTCUSDT,38386.89,39494.35,36800.0,37008.16,62347.68496,2382027320.8617606,1352290,-0.03496439673410079
2022-02-22,1645488000000,BTCUSDT,37008.16,38429.0,36350.0,38230.33,53785.94589,2010628230.7549176,1212527,0.0036059146871456615
2022-02-23,1645574400000,BTCUSDT,38230.33,39249.93,37036.79,37250.01,43560.732,1665486687.2399373,1030872,0.039926755675067316
2022-02-24,1645660800000,BTCUSDT,37250.02,39843.0,34322.28,38327.21,120476.29458,4335107392.009488,2622780,0.08013505912006957
2022-02-25,1645747200000,BTCUSDT,38328.68,39683.53,38014.37,39219.17,56574.57125,2197889580.2826686,1408558,0.10165712738369703
2022-02-26,1645833600000,BTCUSDT,39219.16,40348.45,38573.18,39116.72,29361.2568,1152621719.69438,924257,0.23752116885955954
2022-02-27,1645920000000,BTCUSDT,39116.73,39855.7,37000.0,37699.07,46229.44719,1780512702.886402,1265753,0.15963027490990345
2022-02-28,1646006400000,BTCUSDT,37699.08,44225.84,37450.17,43160.0,73945.63858,2975160226.168985,1931087,0.2815461218531823
2022-03-01,1646092800000,BTCUSDT,43160.0,44949.0,42809.98,44421.2,61743.09873,2701611023.69432,1866871,0.2815129868687414
2022-03-02,1646179200000,BTCUSDT,44421.2,45400.0,43334.09,43892.98,57782.65081,2550792948.288624,1653131,0.38970221105639014
2022-03-03,1646265600000,BTCUSDT,43892.99,44101.12,41832.28,42454.0,50940.61021,2192152097.925188,1289320,0.3150309831756941
2022-03-04,1646352000000,BTCUSDT,42454.0,42527.3,38550.0,39148.66,61964.68498,2527001270.7194686,1465066,0.12819240387846365
2022-03-05,1646438400000,BTCUSDT,39148.65,39613.24,38407.59,39397.96,30363.13341,1187689935.0879936,879727,0.14213902406994205
2022-03-06,1646524800000,BTCUSDT,39397.97,39693.87,38088.57,38420.81,39677.26158,1542258009.6292188,986352,0.06986797906979114
2022-03-07,1646611200000,BTCUSDT,38420.8,39547.57,37155.0,37988.0,63994.11559,2449362161.7015386,1456041,0.08397774290198323
2022-03-08,1646697600000,BTCUSDT,37988.01,39362.08,37867.65,38730.63,55583.06638,2149652714.804345,1271128,0.1559763722631069
2022-03-09,1646784000000,BTCUSDT,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240840.960747,1570230,0.2413729723810214
2022-03-10,1646870400000,BTCUSDT,41941.7,42039.63,38539.73,39422.0,71962.93154,2854310740.807673,1512655,0.13709227776987776
2022-03-11,1646956800000,BTCUSDT,39422.01,40236.26,38223.6,38729.57,59018.7642,2305825015.6010857,1252571,0.09757439882833396
2022-03-12,1647043200000,BTCUSDT,38729.57,39486.71,38660.52,38807.36,24034.36432,939663387.3149892,671733,0.1518907312347173
2022-03-13,1647129600000,BTCUSDT,38807.35,39310.0,37578.51,37777.34,32791.82359,1268441605.1866877,841844,0.10395467447262563
2022-03-14,1647216000000,BTCUSDT,37777.35,39947.12,37555.0,39671.37,46945.45375,1821922588.4472065,1114899,0.17155600417221373
